"ftrSelected","aucMean","aucStd"
"saldo_var30",0,0
"var15",0,0
"var38",0,0
"num_med_var22_ult3",0.8278219,0.00671971990901073
"f_num_quan_70_sum_imp",0.82966,0.00510403439556505
"num_meses_var5_ult3",0.8319154,0.00580523025096047
"num_med_var45_ult3",0.8331182,0.00620390161824709
"saldo_var42",0.8339261,0.00515336607255661
"num_var30_0",0.8337365,0.00566145394066065
"num_var45_hace3",0.8365529,0.00524846427168091
"ind_var8_0",0.8369872,0.00747745055780674
"abs_f_diff_saldo_var5_saldo_medio_var5_ult1",0.8371441,0.00597650539752678
"imp_op_var41_efect_ult1",0.8370362,0.00730799970808245
"new_num_sum",0.8373499,0.00553052309059057
"f_diff_num_var30_4",0.8375375,0.00635840611142271
"abs_f_diff_saldo_medio_var5_ult13",0.8369733,0.00773550047292783
"f_diff_imp_op_var41_efect_ult13",0.8385283,0.00613864511019237
